DATE,ROMERROMER
1969q1,-.2274091392755508
1969q2,.6749187645036727
1969q3,.4843626506626606
1969q4,.1658559043426067
1970q1,-.5745370611548424
1970q2,-.0259718298912048
1970q3,-.925677627325058
1970q4,-.5999237848445773
1971q1,-.8935021460056305
1971q2,.8770070113241673
1971q3,-.1003367304801941
1971q4,-1.527480840682983
1972q1,-.1236862689256668
1972q2,-.3411303535103798
1972q3,-.1117620393633842
1972q4,-.0591099951416254
1973q1,.5286473482847214
1973q2,.5815276280045509
1973q3,-.2387916594743729
1973q4,-1.189948216080666
1974q1,.7318664342164993
1974q2,.9913459271192551
1974q3,-.6221972033381462
1974q4,-.3070521354675293
1975q1,-.6043138056993484
1975q2,-.2432384490966797
1975q3,-.1929660066962242
1975q4,-.2928912192583084
1976q1,-.8150341659784317
1976q2,-.1452675834298134
1976q3,-.20549903716892
1976q4,-.2118411725386977
1977q1,-.4797343760728836
1977q2,-.3274968937039375
1977q3,-.2129833810031414
1977q4,-.2208928056061268
1978q1,-.1508405162021518
1978q2,-.1444738954305649
1978q3,-.4080551192164421
1978q4,.2322706319391727
1979q1,-.0999673828482628
1979q2,-.0272533521056175
1979q3,.8895470798015594
1979q4,.0993314906954765
1980q1,1.81355057656765
1980q2,-4.058773934841156
1980q3,1.164973452687263
1980q4,2.474536657333374
1981q1,-.4291963279247284
1981q2,1.525954008102417
1981q3,-.7218543514609337
1981q4,-.8630373701453209
1982q1,.6124529540538788
1982q2,-.0891476348042488
1982q3,-.435907393693924
1982q4,.453018344938755
1983q1,.3403285443782806
1983q2,-.0370014272630215
1983q3,-.1983932442963123
1983q4,.2766462713479996
1984q1,.1515853255987167
1984q2,.13765749335289
1984q3,.2864533104002476
1984q4,-.7383594769053161
1985q1,.0938688218593597
1985q2,-.1474005430936813
1985q3,.254004530608654
1985q4,.0780943986028433
1986q1,-.0923630222678185
1986q2,.2789762765169144
1986q3,-.3884780742228031
1986q4,-.0200735181570053
1987q1,.4283996820449829
1987q2,.2585373818874359
1987q3,-.1605985220521688
1987q4,-.1958912312984467
1988q1,-.0883625671267509
1988q2,.5805243998765945
1988q3,-.2102174051105976
1988q4,.4447968509048223
1989q1,.3247353434562683
1989q2,.1436367928981781
1989q3,-.052243247628212
1989q4,.0367205888032913
1990q1,.2577399127185345
1990q2,.044887475669384
1990q3,.0719500482082367
1990q4,-.1521085388958454
1991q1,.0402714610099792
1991q2,.2334903478622437
1991q3,.0716177336871624
1991q4,.006702889688313
1992q1,-.0160251669585705
1992q2,.1536554396152496
1992q3,-.0479476465843618
1992q4,-.2830334976315498
1993q1,.062989067286253
1993q2,.3246819972991943
1993q3,.2725431434810162
1993q4,-.183465737849474
1994q1,.5886675715446472
1994q2,.3189584314823151
1994q3,.5814388170838356
1994q4,.3894201219081879
1995q1,.7535121142864227
1995q2,.2281153500080109
1995q3,.0352155845612288
1995q4,-.0138859748840332
1996q1,.1398095414042473
1996q2,.0037818280979991
1996q3,-.0270067807286978
1996q4,.0862866407260299
1997q1,.1277924031019211
1997q2,.1036549583077431
1997q3,-.1427021026611328
1997q4,-.0718922629021108
1998q1,-.0518048815429211
1998q2,-.0645189359784126
1998q3,-.0444200038909912
1998q4,-.3070178329944611
1999q1,-.2594592571258545
1999q2,.1483468562364578
1999q3,.2560746371746063
1999q4,-.1577558070421219
2000q1,.0232468321919441
2000q2,.3643078804016113
2000q3,-.0592025257647038
2000q4,.1229383628815413
2001q1,-.4464053809642792
2001q2,-.5562474131584167
2001q3,-.1289616227149963
2001q4,-.3825280517339706
2002q1,-.5211733728647232
2002q2,.2081396579742432
2002q3,.1041661463677883
2002q4,-.2800266921985894
2003q1,.0202894783578813
2003q2,-.2291566133499146
2003q3,-.2717572450637817
2003q4,-.4209875613451004
2004q1,-.0369602292776108
2004q2,.0292589142918587
2004q3,.4268591403961182
2004q4,.4543044418096542
2005q1,.1680486425757408
2005q2,.5301627665758133
2005q3,.3095329962670803
2005q4,.2695315964519978
2006q1,.2090218886733055
2006q2,.6044538170099258
2006q3,.1261501349508762
2006q4,-.0137968324124813
2007q1,.0863400548696518
2007q2,-.0833343816921115
2007q3,-.5634434130042791
2007q4,-.3788986541330814
