QUARTER,GDPDFT,UNRATE,FEDFUNDS
1989Q4,2.9,5.366666666666667,8.613333333333333
1990Q1,4.4,5.3,8.25
1990Q2,4.6,5.333333333333333,8.243333333333332
1990Q3,3.5,5.7,8.16
1990Q4,3.0,6.133333333333333,7.743333333333332
1991Q1,4.0,6.6000000000000005,6.426666666666667
1991Q2,3.0,6.833333333333333,5.863333333333333
1991Q3,3.2,6.866666666666667,5.6433333333333335
1991Q4,2.4,7.1000000000000005,4.816666666666666
1992Q1,1.5,7.366666666666667,4.023333333333333
1992Q2,2.4,7.6000000000000005,3.7699999999999996
1992Q3,2.0,7.633333333333333,3.2566666666666664
1992Q4,2.8,7.366666666666667,3.0366666666666666
1993Q1,2.3,7.133333333333333,3.0399999999999996
1993Q2,2.4,7.066666666666666,3.0
1993Q3,2.4,6.8,3.06
1993Q4,2.2,6.633333333333333,2.99
1994Q1,1.9,6.566666666666666,3.2133333333333334
1994Q2,1.9,6.2,3.94
1994Q3,2.3,6.0,4.486666666666667
1994Q4,2.2,5.633333333333333,5.166666666666667
1995Q1,2.2,5.466666666666666,5.81
1995Q2,1.9,5.666666666666667,6.02
1995Q3,2.0,5.666666666666667,5.796666666666667
1995Q4,1.9,5.566666666666666,5.72
1996Q1,1.9,5.533333333333334,5.363333333333333
1996Q2,1.7,5.5,5.243333333333333
1996Q3,1.3,5.266666666666667,5.306666666666667
1996Q4,2.2,5.333333333333333,5.28
1997Q1,2.4,5.233333333333333,5.276666666666666
1997Q2,0.8,5.0,5.523333333333333
1997Q3,1.8,4.866666666666667,5.533333333333334
1997Q4,1.3,4.666666666666667,5.506666666666667
1998Q1,0.6,4.633333333333333,5.52
1998Q2,0.9,4.3999999999999995,5.5
1998Q3,1.7,4.533333333333333,5.533333333333334
1998Q4,1.1,4.433333333333334,4.86
1999Q1,1.3,4.3,4.733333333333333
1999Q2,1.5,4.266666666666667,4.746666666666667
1999Q3,1.4,4.233333333333333,5.093333333333334
1999Q4,2.2,4.066666666666666,5.306666666666667
2000Q1,2.7,4.033333333333333,5.676666666666667
2000Q2,2.5,3.9333333333333336,6.273333333333333
2000Q3,2.4,4.0,6.52
2000Q4,2.2,3.9,6.473333333333334
2001Q1,2.7,4.233333333333333,5.593333333333334
2001Q2,2.4,4.3999999999999995,4.326666666666667
2001Q3,1.6,4.833333333333333,3.4966666666666666
2001Q4,1.3,5.5,2.1333333333333333
2002Q1,1.3,5.7,1.7333333333333334
2002Q2,1.4,5.833333333333333,1.75
2002Q3,1.9,5.733333333333333,1.74
2002Q4,2.3,5.866666666666667,1.4433333333333334
2003Q1,2.0,5.866666666666667,1.25
2003Q2,1.4,6.133333333333333,1.2466666666666668
2003Q3,2.3,6.133333333333333,1.0166666666666666
